"phase","table","row_count","size_mb","landed"
"2","usvdirpartycontactv3entity","0","0","False"
"2","usvcustomerresponsibilitiesemplentity","0","0","False"
"2","retailpricingsimulatorinstancevalue","0","0.00","True"
"2","vendvendorexternalcodeentity","0","0","False"
"2","usvlogisticspostaladdressentity","0","0","False"
"2","usvlogisticspostaladdressstagingview","0","0","False"
"3","inventtrans","495226162","373685.94","True"
"3","inventsum","399078046","329429.82","True"
"3","inventtransorigin","238538449","132268.30","True"
"3","vendsettlement","227009580","125283.79","True"
"3","vendtrans","179939436","169215.48","True"
"3","custtrans","134756602","126006.80","True"
"3","taxtrans","114310054","110083.88","True"
"3","custinvoicetrans","103941126","138014.41","True"
"3","custinvoicejour","90748712","125455.43","True"
"3","custsettlement","84237485","84485.11","True"
"3","custconfirmjour","57136818","26550.23","True"
"3","taxjournaltrans","52095178","39325.65","True"
"3","vendinvoicejour","51546512","62295.68","True"
"3","inventtransoriginsalesline","36614473","16186.60","True"
"3","custinvoicesaleslink","30252727","23917.43","True"
"3","markuptrans","26929460","28769.93","True"
"3","reqitemtable","24638073","25787.24","True"
"3","purchlinehistory","22494194","24801.41","True"
"3","purchline","20041706","34061.03","True"
"3","vendpackingsliptrans","18454338","16352.75","True"
"3","vendinvoicetrans","18431214","21831.23","True"
"3","inventtransferline","12815994","15238.14","True"
"3","usvsspprogramcustomer","9382436","5694.10","True"
"3","usvsspprogramproducts","9235126","5549.79","True"
"3","inventtransfertable","8951000","6883.45","True"
"3","inventvaluereporttmpline","8706506","5738.52","True"
"3","custinteresttrans","6535250","6948.60","True"
"3","inventjournaltrans","6220930","4954.77","True"
"3","vendinvoiceinfoline","5529502","6210.31","True"
"3","custtransopen","2944118","3468.21","True"
"3","vendpackingslipjour","2590442","1429.29","True"
"3","inventjournaltable","2075652","1043.69","True"
"3","vendpackingslipversion","1295336","1014.21","True"
"3","vendtransopen","1139225","1617.13","True"
"3","vendinvoiceinfotable","787332","955.44","True"
"3","purchtablehistory","746848","770.56","True"
"3","custinterestjour","595348","294.40","True"
"3","purchtable","579200","856.86","True"
"3","purchtableversion","514190","262.78","True"
"3","usvprogramcustprodexclusiontable","25116","7.09","True"
"3","intercompanypurchsalesreference","6010","3.56","True"
"3","taxtable","1516","1.07","True"
"3","paymterm","1004","0.63","True"
"3","agreementheader","289","0.34","True"
"3","usvprogramreasoncode","287","0.26","True"
"3","paymday","255","0.27","True"
"3","taxonitem","242","0.26","True"
"3","taxdata","230","0.26","True"
"3","purchparameters","74","0.21","True"
"3","markuptable","48","0.20","True"
"3","idttaxlogparameters","24","0.07","True"
"3","vprogramswithnoitems","0","0","False"
"3","vprogramtableswithzerorecords","0","0","False"
"3","usvprogramproductstableentity","0","0","False"
